Date,ETH Price (USD),Hashrate (GH/s),Blocks per day,,
7/25/2017,203.59,77165.6725,4686,,
7/26/2017,202.88,76836.4143,4650,,
7/27/2017,202.93,75616.4916,4634,,
7/28/2017,191.21,77536.4097,4647,,
7/29/2017,206.14,76584.8357,4683,,
7/30/2017,196.78,79028.534,4704,,
7/31/2017,201.33,80870.2609,4535,,
8/1/2017,225.9,80820.0069,4087,,
8/2/2017,218.12,79694.0246,4044,,
8/3/2017,224.39,76659.268,3976,,
8/4/2017,220.6,79754.3216,4040,,
8/5/2017,253.09,78990.8015,4034,,
8/6/2017,264.56,80020.6258,4032,,
8/7/2017,269.94,82348.3479,4094,,
8/8/2017,296.51,83308.9277,4093,,
8/9/2017,295.28,84931.897,4113,,
8/10/2017,298.28,83442.1715,4029,,
8/11/2017,309.32,84627.2607,4105,,
8/12/2017,308.02,87270.9302,4113,,
8/13/2017,296.62,87653.9263,4129,,
8/14/2017,299.16,89584.3061,4133,,
8/15/2017,286.52,90812.4199,4132,,
8/16/2017,301.38,91289.1473,4166,,
8/17/2017,300.3,92534.9297,4144,,
8/18/2017,292.62,91777.3051,4136,,
8/19/2017,293.02,95425.5042,4211,,
8/20/2017,298.2,93281.2322,4156,,
8/21/2017,321.85,95741.8313,4233,,
8/22/2017,313.37,95942.1567,4185,,
8/23/2017,317.4,98296.3711,4216,,
8/24/2017,325.28,97228.3329,4184,,
8/25/2017,330.06,95339.2953,3554,,
8/26/2017,332.86,95944.7226,3499,,
8/27/2017,347.88,95506.9876,3514,,
8/28/2017,347.66,92566.5693,3446,,
8/29/2017,372.35,99235.369,3541,,
8/30/2017,383.86,99678.7102,3531,,
8/31/2017,388.33,97955.4642,3473,,
9/1/2017,391.42,98985.3654,3521,,
9/2/2017,351.03,98883.0465,3541,,
9/3/2017,352.45,98450.1542,3539,,
9/4/2017,303.7,99991.3961,3527,,
9/5/2017,317.94,100474.3339,3559,,
9/6/2017,338.92,99614.2702,3510,,
9/7/2017,335.37,101735.9047,3547,,
9/8/2017,306.72,106728.0408,3592,,
9/9/2017,303.79,104087.0767,3561,,
9/10/2017,299.21,102462.2609,3574,,
9/11/2017,297.95,102521.0502,3551,,
9/12/2017,294.1,108070.1938,3603,,
9/13/2017,275.84,103537.1178,3536,,
9/14/2017,223.14,105590.7742,3599,,
9/15/2017,259.57,109240.2979,3616,,
9/16/2017,254.49,107169.6341,3609,,
9/17/2017,258.4,108004.7306,3630,,
9/18/2017,297.53,105851.5969,3557,,
9/19/2017,283,108650.3899,3628,,
9/20/2017,283.56,107391.0713,3600,,
9/21/2017,257.77,109411.54,3645,,
9/22/2017,262.94,108415.5019,3001,,
9/23/2017,286.14,103936.501,2884,,
9/24/2017,282.6,106744.3503,2938,,
9/25/2017,294.89,101530.2447,2836,,
